City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,rabo de peixe,37.8,-25.5833,72.91,83,75,11.5,PT,1628961648
275,inhambane,-23.865,35.3833,66.18,68,75,16.11,MZ,1628961648
276,ormara,25.2088,64.6357,79.72,84,75,15.66,PK,1628961648
277,vite,17.2833,74.55,70.84,86,40,10.04,IN,1628961648
278,ornskoldsvik,63.2909,18.7153,63.55,77,75,9.22,SE,1628961649
279,flinders,-34.5833,150.8552,52.81,83,4,1.01,AU,1628961649
280,vao,-22.6667,167.4833,66.42,63,26,16.04,NC,1628961649
281,codrington,-38.2667,141.9667,46.58,91,5,13.67,AU,1628961650
282,porto walter,-8.2686,-72.7439,95.63,28,100,2.13,BR,1628961650
283,broome,42.2506,-75.833,76.06,63,90,1.99,US,1628961650
284,shiyan,32.6475,110.7781,68.86,93,7,1.32,CN,1628961651
285,zharkent,44.1628,80.0,64.47,49,35,6.04,KZ,1628961651
286,liberia,6.5,-9.5,76.5,80,100,2.95,LR,1628961651
287,kahului,20.8947,-156.47,76.26,86,20,10.36,US,1628961651
288,tarakan,3.3,117.6333,78.3,94,40,2.3,ID,1628961652
289,zabaykalsk,49.6333,117.3167,57.16,85,8,5.48,RU,1628961652
290,swanzey,42.8698,-72.2818,88.77,72,75,6.91,US,1628961652
291,mangan,27.5167,88.5333,76.46,99,100,1.77,IN,1628961653
292,fairbanks,64.8378,-147.7164,53.1,85,40,5.75,US,1628961653
293,tuban,-6.8976,112.0649,77.2,83,49,6.69,ID,1628961653
294,luderitz,-26.6481,15.1594,62.55,43,0,20.04,NA,1628961653
295,jizan,17.3333,42.6667,92.34,41,9,7.63,SA,1628961654
296,donskoye,45.4552,41.9741,73.53,75,98,5.57,RU,1628961654
297,caxias,38.7031,-9.2767,91.22,46,0,5.01,PT,1628961654
298,piacabucu,-10.4056,-36.4344,78.71,69,20,9.75,BR,1628961655
299,atar,20.5169,-13.0499,109.29,12,24,20.07,MR,1628961655
300,mount pleasant,32.7941,-79.8626,91.99,68,1,4.0,US,1628961524
301,ponta do sol,32.6667,-17.1,82.71,74,86,0.2,PT,1628961656
302,ancud,-41.8697,-73.8203,48.42,69,100,3.74,CL,1628961657
303,pasighat,28.0667,95.3333,75.85,99,100,2.3,IN,1628961535
304,churapcha,62.0025,132.4325,63.1,62,32,5.95,RU,1628961657
305,lere,10.387,8.5726,74.5,87,92,4.41,NG,1628961657
306,berlevag,70.8578,29.0864,50.76,82,60,10.76,NO,1628961658
307,kitimat,54.0524,-128.6534,67.91,87,100,1.99,CA,1628961658
308,aljezur,37.3191,-8.8033,84.04,41,60,9.93,PT,1628961659
309,paamiut,61.994,-49.6678,45.3,98,100,15.95,GL,1628961659
310,kuching,1.55,110.3333,77.22,88,20,4.61,MY,1628961659
311,lerwick,60.1545,-1.1494,59.0,77,16,14.25,GB,1628961660
312,beaverlodge,55.2166,-119.4361,78.15,35,70,22.46,CA,1628961660
313,zhigansk,66.7697,123.3711,47.91,76,100,12.01,RU,1628961660
314,norman wells,65.282,-126.8329,53.64,87,75,9.22,CA,1628961660
315,waipawa,-41.4122,175.5153,38.03,83,11,5.17,NZ,1628961661
316,maralal,1.0968,36.698,61.59,77,91,6.93,KE,1628961661
317,hemsedal,60.8629,8.5534,50.0,83,100,7.11,NO,1628961662
318,itarema,-2.9248,-39.9167,87.28,50,60,17.11,BR,1628961662
319,caucaia,-3.7361,-38.6531,87.75,51,20,16.11,BR,1628961662
320,qaqortoq,60.7167,-46.0333,54.1,89,100,2.55,GL,1628961663
321,hasaki,35.7333,140.8333,68.4,94,100,2.93,JP,1628961663
322,nishihara,26.1842,127.7558,80.26,94,20,10.36,JP,1628961663
323,caravelas,-17.7125,-39.2481,77.31,56,10,7.94,BR,1628961664
324,prince rupert,54.3161,-130.3201,59.09,94,90,2.3,CA,1628961469
325,calvinia,-31.4707,19.776,50.27,60,7,12.71,ZA,1628961664
326,san felice sul panaro,44.8332,11.1426,98.13,19,0,12.73,IT,1628961664
327,faya,18.3851,42.4509,81.12,30,59,9.91,SA,1628961665
328,mora,11.0461,14.1401,78.4,74,99,4.9,CM,1628961665
329,lindsay,36.203,-119.0882,97.0,40,1,4.61,US,1628961460
330,atambua,-9.1061,124.8925,69.44,86,8,6.06,ID,1628961665
331,bolivar,37.6145,-93.4105,82.99,61,66,7.43,US,1628961570
332,nicoya,10.1483,-85.452,87.35,66,84,2.44,CR,1628961666
333,ballina,-28.8667,153.5667,59.04,93,32,6.64,AU,1628961666
334,moose factory,51.2585,-80.6094,66.2,48,75,12.66,CA,1628961667
335,cayenne,4.9333,-52.3333,87.84,76,20,4.0,GF,1628961667
336,sorong,-0.8833,131.25,77.56,87,25,6.4,ID,1628961667
337,lakes entrance,-37.8811,147.981,42.19,75,4,8.16,AU,1628961668
338,tungi,23.89,90.4058,86.0,70,75,6.91,BD,1628961668
339,dvinskoy,62.1535,45.1175,62.76,74,55,5.91,RU,1628961668
